HGNC,Gene,Disease,MONDO,GCEP,CDWG
HGNC:47,UMAT,"microphthalmia, isolated, with coloboma 7",MONDO:0013783,General Inborn Errors of Metabolism,Inborn Errors of Metabolism
HGNC:47,ABCB6,dyschromatosis universalis hereditaria 3,MONDO:0014169,General Inborn Errors of Metabolism,Inborn Errors of Metabolism
HGNC:47,EST45597,dyschromatosis universalis hereditaria 3,MONDO:0014169,General Inborn Errors of Metabolism,Inborn Errors of Metabolism
HGNC:47,MTABC3,dyschromatosis universalis hereditaria 3,MONDO:0014169,General Inborn Errors of Metabolism,Inborn Errors of Metabolism
HGNC:47,UMAT,dyschromatosis universalis hereditaria 3,MONDO:0014169,General Inborn Errors of Metabolism,Inborn Errors of Metabolism
HGNC:48,ABCB7,mitochondrial disease,MONDO:0044970,Mitochondrial Diseases,Inborn Errors of Metabolism
HGNC:48,ABC7,mitochondrial disease,MONDO:0044970,Mitochondrial Diseases,Inborn Errors of Metabolism
HGNC:48,ASAT,mitochondrial disease,MONDO:0044970,Mitochondrial Diseases,Inborn Errors of Metabolism
HGNC:48,ATM1P,mitochondrial disease,MONDO:0044970,Mitochondrial Diseases,Inborn Errors of Metabolism
HGNC:48,EST140535,mitochondrial disease,MONDO:0044970,Mitochondrial Diseases,Inborn Errors of Metabolism
HGNC:51,ABCC1,autosomal dominant nonsyndromic hearing loss,MONDO:0019587,Hearing Loss,Hearing Loss
HGNC:51,GS-X,autosomal dominant nonsyndromic hearing loss,MONDO:0019587,Hearing Loss,Hearing Loss
HGNC:51,MRP,autosomal dominant nonsyndromic hearing loss,MONDO:0019587,Hearing Loss,Hearing Loss
HGNC:51,MRP1,autosomal dominant nonsyndromic hearing loss,MONDO:0019587,Hearing Loss,Hearing Loss
HGNC:55,ABCC4,qualitative platelet defect,MONDO:0001197,Hemostasis/Thrombosis,Hemostasis/Thrombosis
HGNC:55,EST170205,qualitative platelet defect,MONDO:0001197,Hemostasis/Thrombosis,Hemostasis/Thrombosis
HGNC:55,MOAT-B,qualitative platelet defect,MONDO:0001197,Hemostasis/Thrombosis,Hemostasis/Thrombosis
HGNC:55,MOATB,qualitative platelet defect,MONDO:0001197,Hemostasis/Thrombosis,Hemostasis/Thrombosis
HGNC:55,MRP4,qualitative platelet defect,MONDO:0001197,Hemostasis/Thrombosis,Hemostasis/Thrombosis
HGNC:57,ABCC6,inherited pseudoxanthoma elasticum,MONDO:0100091,Neurovascular,Neurological Disorders
HGNC:57,ARA,inherited pseudoxanthoma elasticum,MONDO:0100091,Neurovascular,Neurological Disorders
HGNC:57,EST349056,inherited pseudoxanthoma elasticum,MONDO:0100091,Neurovascular,Neurological Disorders
HGNC:57,MLP1,inherited pseudoxanthoma elasticum,MONDO:0100091,Neurovascular,Neurological Disorders
HGNC:57,MRP6,inherited pseudoxanthoma elasticum,MONDO:0100091,Neurovascular,Neurological Disorders
HGNC:57,PXE,inherited pseudoxanthoma elasticum,MONDO:0100091,Neurovascular,Neurological Disorders
HGNC:57,URG7,inherited pseudoxanthoma elasticum,MONDO:0100091,Neurovascular,Neurological Disorders
HGNC:59,ABCC8,monogenic diabetes,MONDO:0015967,Monogenic Diabetes,Endocrinology
HGNC:59,ABC36,monogenic diabetes,MONDO:0015967,Monogenic Diabetes,Endocrinology
HGNC:59,HHF1,monogenic diabetes,MONDO:0015967,Monogenic Diabetes,Endocrinology
HGNC:59,HI,monogenic diabetes,MONDO:0015967,Monogenic Diabetes,Endocrinology
HGNC:59,HRINS,monogenic diabetes,MONDO:0015967,Monogenic Diabetes,Endocrinology
HGNC:59,MRP8,monogenic diabetes,MONDO:0015967,Monogenic Diabetes,Endocrinology
HGNC:59,PHHI,monogenic diabetes,MONDO:0015967,Monogenic Diabetes,Endocrinology
HGNC:59,SUR,monogenic diabetes,MONDO:0015967,Monogenic Diabetes,Endocrinology
HGNC:59,SUR1,monogenic diabetes,MONDO:0015967,Monogenic Diabetes,Endocrinology
HGNC:59,TNDM2,monogenic diabetes,MONDO:0015967,Monogenic Diabetes,Endocrinology
HGNC:59,ABCC8,pulmonary arterial hypertension,MONDO:0015924,Pulmonary Hypertension,Cardiovascular
HGNC:59,ABC36,pulmonary arterial hypertension,MONDO:0015924,Pulmonary Hypertension,Cardiovascular
HGNC:59,HHF1,pulmonary arterial hypertension,MONDO:0015924,Pulmonary Hypertension,Cardiovascular
HGNC:59,HI,pulmonary arterial hypertension,MONDO:0015924,Pulmonary Hypertension,Cardiovascular
HGNC:59,HRINS,pulmonary arterial hypertension,MONDO:0015924,Pulmonary Hypertension,Cardiovascular
HGNC:59,MRP8,pulmonary arterial hypertension,MONDO:0015924,Pulmonary Hypertension,Cardiovascular
HGNC:59,PHHI,pulmonary arterial hypertension,MONDO:0015924,Pulmonary Hypertension,Cardiovascular
HGNC:59,SUR,pulmonary arterial hypertension,MONDO:0015924,Pulmonary Hypertension,Cardiovascular
HGNC:59,SUR1,pulmonary arterial hypertension,MONDO:0015924,Pulmonary Hypertension,Cardiovascular
HGNC:59,TNDM2,pulmonary arterial hypertension,MONDO:0015924,Pulmonary Hypertension,Cardiovascular
HGNC:60,ABCC9,hypertrichotic osteochondrodysplasia Cantu type,MONDO:0009406,Syndromic Disorders,Other
HGNC:60,CMD1O,hypertrichotic osteochondrodysplasia Cantu type,MONDO:0009406,Syndromic Disorders,Other
HGNC:60,SUR2,hypertrichotic osteochondrodysplasia Cantu type,MONDO:0009406,Syndromic Disorders,Other
HGNC:60,ABCC9,dilated cardiomyopathy,MONDO:0005021,Dilated Cardiomyopathy,Cardiovascular
HGNC:60,CMD1O,dilated cardiomyopathy,MONDO:0005021,Dilated Cardiomyopathy,Cardiovascular
HGNC:60,SUR2,dilated cardiomyopathy,MONDO:0005021,Dilated Cardiomyopathy,Cardiovascular
HGNC:60,ABCC9,Brugada syndrome,MONDO:0015263,Hereditary Cardiovascular Disease,Cardiovascular
HGNC:60,CMD1O,Brugada syndrome,MONDO:0015263,Hereditary Cardiovascular Disease,Cardiovascular
HGNC:60,SUR2,Brugada syndrome,MONDO:0015263,Hereditary Cardiovascular Disease,Cardiovascular
HGNC:61,ABCD1,adrenoleukodystrophy,MONDO:0018544,Peroxisomal Disorders,Inborn Errors of Metabolism
HGNC:61,ADRENOLEUKODYSTROPHY,adrenoleukodystrophy,MONDO:0018544,Peroxisomal Disorders,Inborn Errors of Metabolism
HGNC:61,ALD,adrenoleukodystrophy,MONDO:0018544,Peroxisomal Disorders,Inborn Errors of Metabolism
HGNC:61,ALDP,adrenoleukodystrophy,MONDO:0018544,Peroxisomal Disorders,Inborn Errors of Metabolism
HGNC:61,AMN,adrenoleukodystrophy,MONDO:0018544,Peroxisomal Disorders,Inborn Errors of Metabolism
HGNC:67,ABCD3,congenital bile acid synthesis defect 5,MONDO:0014564,Peroxisomal Disorders,Inborn Errors of Metabolism
HGNC:67,PMP70,congenital bile acid synthesis defect 5,MONDO:0014564,Peroxisomal Disorders,Inborn Errors of Metabolism
HGNC:67,PXMP1,congenital bile acid synthesis defect 5,MONDO:0014564,Peroxisomal Disorders,Inborn Errors of Metabolism
HGNC:67,ZWS2,congenital bile acid synthesis defect 5,MONDO:0014564,Peroxisomal Disorders,Inborn Errors of Metabolism
HGNC:68,ABCD4,"methylmalonic acidemia with homocystinuria, type cblJ",MONDO:0013925,General Inborn Errors of Metabolism,Inborn Errors of Metabolism
HGNC:68,EST352188,"methylmalonic acidemia with homocystinuria, type cblJ",MONDO:0013925,General Inborn Errors of Metabolism,Inborn Errors of Metabolism
HGNC:68,P70R,"methylmalonic acidemia with homocystinuria, type cblJ",MONDO:0013925,General Inborn Errors of Metabolism,Inborn Errors of Metabolism
HGNC:68,PMP69,"methylmalonic acidemia with homocystinuria, type cblJ",MONDO:0013925,General Inborn Errors of Metabolism,Inborn Errors of Metabolism
HGNC:68,PXMP1L,"methylmalonic acidemia with homocystinuria, type cblJ",MONDO:0013925,General Inborn Errors of Metabolism,Inborn Errors of Metabolism
HGNC:13886,ABCG5,sitosterolemia,MONDO:0008863,Hemostasis/Thrombosis,Hemostasis/Thrombosis
HGNC:13886,STSL,sitosterolemia,MONDO:0008863,Hemostasis/Thrombosis,Hemostasis/Thrombosis
HGNC:13887,ABCG8,sitosterolemia,MONDO:0008863,Hemostasis/Thrombosis,Hemostasis/Thrombosis
HGNC:13887,GBD4,sitosterolemia,MONDO:0008863,Hemostasis/Thrombosis,Hemostasis/Thrombosis
HGNC:15868,ABHD12,PHARC syndrome,MONDO:0012984,Hearing Loss,Hearing Loss
HGNC:15868,ABHD12A,PHARC syndrome,MONDO:0012984,Hearing Loss,Hearing Loss
HGNC:15868,BEM46L2,PHARC syndrome,MONDO:0012984,Hearing Loss,Hearing Loss
HGNC:15868,C20ORF22,PHARC syndrome,MONDO:0012984,Hearing Loss,Hearing Loss
HGNC:15868,DJ965G21.2,PHARC syndrome,MONDO:0012984,Hearing Loss,Hearing Loss
HGNC:15868,DKFZP434P106,PHARC syndrome,MONDO:0012984,Hearing Loss,Hearing Loss
HGNC:21396,ABHD5,Dorfman-Chanarin disease,MONDO:0010155,Lysosomal Diseases,Inborn Errors of Metabolism
HGNC:21396,CGI-58,Dorfman-Chanarin disease,MONDO:0010155,Lysosomal Diseases,Inborn Errors of Metabolism
HGNC:21396,NCIE2,Dorfman-Chanarin disease,MONDO:0010155,Lysosomal Diseases,Inborn Errors of Metabolism
HGNC:87,ACAD8,isobutyryl-CoA dehydrogenase deficiency,MONDO:0012648,Aminoacidopathy,Inborn Errors of Metabolism
HGNC:87,,isobutyryl-CoA dehydrogenase deficiency,MONDO:0012648,Aminoacidopathy,Inborn Errors of Metabolism
HGNC:21497,ACAD9,acyl-CoA dehydrogenase 9 deficiency,MONDO:0012624,Fatty Acid Oxidation Disorders,Inborn Errors of Metabolism
HGNC:21497,MGC14452,acyl-CoA dehydrogenase 9 deficiency,MONDO:0012624,Fatty Acid Oxidation Disorders,Inborn Errors of Metabolism
HGNC:21497,NPD002,acyl-CoA dehydrogenase 9 deficiency,MONDO:0012624,Fatty Acid Oxidation Disorders,Inborn Errors of Metabolism
HGNC:88,ACADL,long chain acyl-CoA dehydrogenase deficiency,MONDO:0020531,Fatty Acid Oxidation Disorders,Inborn Errors of Metabolism
HGNC:88,ACAD4,long chain acyl-CoA dehydrogenase deficiency,MONDO:0020531,Fatty Acid Oxidation Disorders,Inborn Errors of Metabolism
HGNC:88,LCAD,long chain acyl-CoA dehydrogenase deficiency,MONDO:0020531,Fatty Acid Oxidation Disorders,Inborn Errors of Metabolism
HGNC:89,ACADM,medium chain acyl-CoA dehydrogenase deficiency,MONDO:0008721,Fatty Acid Oxidation Disorders,Inborn Errors of Metabolism
HGNC:89,ACAD1,medium chain acyl-CoA dehydrogenase deficiency,MONDO:0008721,Fatty Acid Oxidation Disorders,Inborn Errors of Metabolism
HGNC:89,MCAD,medium chain acyl-CoA dehydrogenase deficiency,MONDO:0008721,Fatty Acid Oxidation Disorders,Inborn Errors of Metabolism
HGNC:89,MCADH,medium chain acyl-CoA dehydrogenase deficiency,MONDO:0008721,Fatty Acid Oxidation Disorders,Inborn Errors of Metabolism
HGNC:90,ACADS,short chain acyl-CoA dehydrogenase deficiency,MONDO:0008722,Fatty Acid Oxidation Disorders,Inborn Errors of Metabolism
HGNC:90,ACAD3,short chain acyl-CoA dehydrogenase deficiency,MONDO:0008722,Fatty Acid Oxidation Disorders,Inborn Errors of Metabolism
HGNC:90,SCAD,short chain acyl-CoA dehydrogenase deficiency,MONDO:0008722,Fatty Acid Oxidation Disorders,Inborn Errors of Metabolism
HGNC:91,ACADSB,2-methylbutyryl-CoA dehydrogenase deficiency,MONDO:0012392,Aminoacidopathy,Inborn Errors of Metabolism
HGNC:91,ACAD7,2-methylbutyryl-CoA dehydrogenase deficiency,MONDO:0012392,Aminoacidopathy,Inborn Errors of Metabolism
HGNC:91,SBCAD,2-methylbutyryl-CoA dehydrogenase deficiency,MONDO:0012392,Aminoacidopathy,Inborn Errors of Metabolism
HGNC:92,ACADVL,very long chain acyl-CoA dehydrogenase deficiency,MONDO:0008723,Fatty Acid Oxidation Disorders,Inborn Errors of Metabolism
HGNC:92,ACAD6,very long chain acyl-CoA dehydrogenase deficiency,MONDO:0008723,Fatty Acid Oxidation Disorders,Inborn Errors of Metabolism
HGNC:92,LCACD,very long chain acyl-CoA dehydrogenase deficiency,MONDO:0008723,Fatty Acid Oxidation Disorders,Inborn Errors of Metabolism
HGNC:92,VLCAD,very long chain acyl-CoA dehydrogenase deficiency,MONDO:0008723,Fatty Acid Oxidation Disorders,Inborn Errors of Metabolism
HGNC:319,ACAN,ACAN-related short stature spectrum,MONDO:1060149,Skeletal Disorders,Skeletal Disorders
HGNC:319,AGC1,ACAN-related short stature spectrum,MONDO:1060149,Skeletal Disorders,Skeletal Disorders
HGNC:319,CSPG1,ACAN-related short stature spectrum,MONDO:1060149,Skeletal Disorders,Skeletal Disorders
HGNC:319,CSPGCP,ACAN-related short stature spectrum,MONDO:1060149,Skeletal Disorders,Skeletal Disorders
HGNC:319,MSK16,ACAN-related short stature spectrum,MONDO:1060149,Skeletal Disorders,Skeletal Disorders
HGNC:93,ACAT1,beta-ketothiolase deficiency,MONDO:0008760,Fatty Acid Oxidation Disorders,Inborn Errors of Metabolism
HGNC:93,ACAT,beta-ketothiolase deficiency,MONDO:0008760,Fatty Acid Oxidation Disorders,Inborn Errors of Metabolism
HGNC:93,THIL,beta-ketothiolase deficiency,MONDO:0008760,Fatty Acid Oxidation Disorders,Inborn Errors of Metabolism
HGNC:94,ACAT2,acetyl-CoA acetyltransferase-2 deficiency,MONDO:0013548,Fatty Acid Oxidation Disorders,Inborn Errors of Metabolism
HGNC:94,,acetyl-CoA acetyltransferase-2 deficiency,MONDO:0013548,Fatty Acid Oxidation Disorders,Inborn Errors of Metabolism
HGNC:23338,ACBD5,acyl-CoA binding domain containing protein 5 deficiency,MONDO:0100112,Peroxisomal Disorders,Inborn Errors of Metabolism
HGNC:23338,DKFZP434A2417,acyl-CoA binding domain containing protein 5 deficiency,MONDO:0100112,Peroxisomal Disorders,Inborn Errors of Metabolism
HGNC:23338,KIAA1996,acyl-CoA binding domain containing protein 5 deficiency,MONDO:0100112,Peroxisomal Disorders,Inborn Errors of Metabolism
HGNC:25070,ACD,ACD-related short telomere syndrome,MONDO:0100569,Interstitial Lung Disease,Pulmonary
HGNC:25070,PIP1,ACD-related short telomere syndrome,MONDO:0100569,Interstitial Lung Disease,Pulmonary
HGNC:25070,PTOP,ACD-related short telomere syndrome,MONDO:0100569,Interstitial Lung Disease,Pulmonary
HGNC:25070,TINT1,ACD-related short telomere syndrome,MONDO:0100569,Interstitial Lung Disease,Pulmonary
HGNC:25070,TPP1,ACD-related short telomere syndrome,MONDO:0100569,Interstitial Lung Disease,Pulmonary
HGNC:2707,ACE,renal tubular dysgenesis - ACE,MONDO:0700337,Prenatal,Other
HGNC:2707,ACE1,renal tubular dysgenesis - ACE,MONDO:0700337,Prenatal,Other
HGNC:2707,CD143,renal tubular dysgenesis - ACE,MONDO:0700337,Prenatal,Other
HGNC:2707,DCP1,renal tubular dysgenesis - ACE,MONDO:0700337,Prenatal,Other
HGNC:118,ACO2,mitochondrial disease,MONDO:0044970,Mitochondrial Diseases,Inborn Errors of Metabolism
HGNC:118,ACONM,mitochondrial disease,MONDO:0044970,Mitochondrial Diseases,Inborn Errors of Metabolism
HGNC:118,ACO2,mitochondrial disease,MONDO:0044970,Mitochondrial Diseases,Inborn Errors of Metabolism
HGNC:118,ACONM,mitochondrial disease,MONDO:0044970,Mitochondrial Diseases,Inborn Errors of Metabolism
HGNC:118,ACO2,optic atrophy 9,MONDO:0014571,Glaucoma and Neuro-Ophthalmology,Ocular
HGNC:118,ACONM,optic atrophy 9,MONDO:0014571,Glaucoma and Neuro-Ophthalmology,Ocular
HGNC:119,ACOX1,Mitchell syndrome,MONDO:0030073,Peroxisomal Disorders,Inborn Errors of Metabolism
HGNC:119,PALMCOX,Mitchell syndrome,MONDO:0030073,Peroxisomal Disorders,Inborn Errors of Metabolism
HGNC:119,ACOX1,peroxisomal acyl-CoA oxidase deficiency,MONDO:0009919,Peroxisomal Disorders,Inborn Errors of Metabolism
HGNC:119,PALMCOX,peroxisomal acyl-CoA oxidase deficiency,MONDO:0009919,Peroxisomal Disorders,Inborn Errors of Metabolism
HGNC:120,ACOX2,congenital bile acid synthesis defect 6,MONDO:0015015,General Inborn Errors of Metabolism,Inborn Errors of Metabolism
HGNC:120,BRCACOX,congenital bile acid synthesis defect 6,MONDO:0015015,General Inborn Errors of Metabolism,Inborn Errors of Metabolism
HGNC:120,BRCOX,congenital bile acid synthesis defect 6,MONDO:0015015,General Inborn Errors of Metabolism,Inborn Errors of Metabolism
HGNC:120,THCCOX,congenital bile acid synthesis defect 6,MONDO:0015015,General Inborn Errors of Metabolism,Inborn Errors of Metabolism
HGNC:27288,ACSF3,combined malonic and methylmalonic acidemia,MONDO:0013661,Aminoacidopathy,Inborn Errors of Metabolism
HGNC:27288,,combined malonic and methylmalonic acidemia,MONDO:0013661,Aminoacidopathy,Inborn Errors of Metabolism
HGNC:3571,ACSL4,non-syndromic X-linked intellectual disability,MONDO:0019181,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:3571,ACS4,non-syndromic X-linked intellectual disability,MONDO:0019181,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:3571,FACL4,non-syndromic X-linked intellectual disability,MONDO:0019181,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:3571,LACS4,non-syndromic X-linked intellectual disability,MONDO:0019181,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:3571,MRX63,non-syndromic X-linked intellectual disability,MONDO:0019181,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:3571,MRX68,non-syndromic X-linked intellectual disability,MONDO:0019181,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:129,ACTA1,alpha-actinopathy,MONDO:0100084,Congenital Myopathies,Neurological Disorders
HGNC:129,ACTA,alpha-actinopathy,MONDO:0100084,Congenital Myopathies,Neurological Disorders
HGNC:129,NEM3,alpha-actinopathy,MONDO:0100084,Congenital Myopathies,Neurological Disorders
HGNC:129,ACTA1,alpha-actinopathy,MONDO:0100084,Congenital Myopathies,Neurological Disorders
HGNC:129,ACTA,alpha-actinopathy,MONDO:0100084,Congenital Myopathies,Neurological Disorders
HGNC:129,NEM3,alpha-actinopathy,MONDO:0100084,Congenital Myopathies,Neurological Disorders
HGNC:130,ACTA2,multisystemic smooth muscle dysfunction syndrome,MONDO:0013452,Hereditary Cardiovascular Disease,Cardiovascular
HGNC:130,ACTSA,multisystemic smooth muscle dysfunction syndrome,MONDO:0013452,Hereditary Cardiovascular Disease,Cardiovascular
HGNC:132,ACTB,Baraitser-Winter cerebrofrontofacial syndrome,MONDO:0017579,Brain Malformations,Neurodevelopmental Disorders
HGNC:132,,Baraitser-Winter cerebrofrontofacial syndrome,MONDO:0017579,Brain Malformations,Neurodevelopmental Disorders
HGNC:132,ACTB,ACTB-associated syndromic thrombocytopenia,MONDO:0100433,Hemostasis/Thrombosis,Hemostasis/Thrombosis
HGNC:132,,ACTB-associated syndromic thrombocytopenia,MONDO:0100433,Hemostasis/Thrombosis,Hemostasis/Thrombosis
HGNC:143,ACTC1,hypertrophic cardiomyopathy,MONDO:0005045,Hypertrophic Cardiomyopathy,Cardiovascular
HGNC:143,ACTC,hypertrophic cardiomyopathy,MONDO:0005045,Hypertrophic Cardiomyopathy,Cardiovascular
HGNC:143,CMD1R,hypertrophic cardiomyopathy,MONDO:0005045,Hypertrophic Cardiomyopathy,Cardiovascular
HGNC:143,ACTC1,arrhythmogenic right ventricular cardiomyopathy,MONDO:0016587,Arrhythmogenic Right Ventricular Cardiomyopathy,Cardiovascular
HGNC:143,ACTC,arrhythmogenic right ventricular cardiomyopathy,MONDO:0016587,Arrhythmogenic Right Ventricular Cardiomyopathy,Cardiovascular
HGNC:143,CMD1R,arrhythmogenic right ventricular cardiomyopathy,MONDO:0016587,Arrhythmogenic Right Ventricular Cardiomyopathy,Cardiovascular
HGNC:143,ACTC1,dilated cardiomyopathy,MONDO:0005021,Dilated Cardiomyopathy,Cardiovascular
HGNC:143,ACTC,dilated cardiomyopathy,MONDO:0005021,Dilated Cardiomyopathy,Cardiovascular
HGNC:143,CMD1R,dilated cardiomyopathy,MONDO:0005021,Dilated Cardiomyopathy,Cardiovascular
HGNC:144,ACTG1,Baraitser-winter syndrome 2,MONDO:0013812,Hearing Loss,Hearing Loss
HGNC:144,ACTG,Baraitser-winter syndrome 2,MONDO:0013812,Hearing Loss,Hearing Loss
HGNC:144,DFNA20,Baraitser-winter syndrome 2,MONDO:0013812,Hearing Loss,Hearing Loss
HGNC:144,DFNA26,Baraitser-winter syndrome 2,MONDO:0013812,Hearing Loss,Hearing Loss
HGNC:144,ACTG1,nonsyndromic genetic hearing loss,MONDO:0019497,Hearing Loss,Hearing Loss
HGNC:144,ACTG,nonsyndromic genetic hearing loss,MONDO:0019497,Hearing Loss,Hearing Loss
HGNC:144,DFNA20,nonsyndromic genetic hearing loss,MONDO:0019497,Hearing Loss,Hearing Loss
HGNC:144,DFNA26,nonsyndromic genetic hearing loss,MONDO:0019497,Hearing Loss,Hearing Loss
