id,name
HP:0025142,Constitutional symptom
HP:0012531,Pain
HP:0001600,Abnormality of the larynx
HP:0025423,Abnormal larynx morphology
HP:0031137,Storage in hepatocytes
HP:0006561,Lipid accumulation in hepatocytes
HP:0032243,Abnormal tissue metabolite concentration
HP:0034644,Abnormal liver metabolite concentration
HP:0001397,Hepatic steatosis
HP:0002257,Chronic rhinitis
HP:0200035,Skin plaque
HP:0040070,Abnormal upper limb bone morphology
HP:0040071,Abnormal morphology of ulna
HP:0040072,Abnormal forearm bone morphology
HP:0002973,Abnormal forearm morphology
HP:0003026,Short long bone
HP:0009821,Forearm undergrowth
HP:0006495,Aplasia/Hypoplasia of the ulna
HP:0009824,Upper limb undergrowth
HP:0009826,Limb undergrowth
HP:0006503,Aplasia/hypoplasia involving forearm bones
HP:0034915,Abnormal anus morphology
HP:0004378,Abnormality of the anus
HP:0010663,Abnormal thalamus morphology
HP:0010662,Abnormality of the diencephalon
HP:0011370,Recurrent cutaneous fungal infections
HP:0001581,Recurrent skin infections
HP:0002841,Recurrent fungal infections
HP:0200006,Slanting of the palpebral fissure
HP:0008873,Disproportionate short-limb short stature
HP:0003498,Disproportionate short stature
HP:0003712,Skeletal muscle hypertrophy
HP:0030236,Abnormality of muscle size
HP:0002500,Abnormal cerebral white matter morphology
HP:0010993,Abnormal cerebral subcortex morphology
HP:0001732,Abnormality of the pancreas
HP:0012091,Abnormality of pancreas physiology
HP:0012387,Bronchitis
HP:0010720,Abnormal hair pattern
HP:0011361,Congenital abnormal hair pattern
HP:0100037,Abnormality of the scalp hair
HP:0001965,Abnormal scalp morphology
HP:0009553,Abnormality of the hairline
HP:0100766,Abnormal lymphatic vessel morphology
HP:0011360,Acquired abnormal hair pattern
HP:0001596,Alopecia
HP:0001367,Abnormal joint morphology
HP:0001369,Arthritis
HP:0010721,Abnormal hair whorl
HP:0002963,Abnormal delayed hypersensitivity skin test
HP:0004673,Decreased facial expression
HP:0005346,Abnormal facial expression
HP:0200043,Verrucae
HP:0001952,Glucose intolerance
HP:0000819,Diabetes mellitus
HP:0100705,Abnormal glial cell morphology
HP:0000078,Abnormality of the genital system
HP:0000080,Abnormality of reproductive system physiology
HP:0025090,Abnormal large intestinal mucosa morphology
HP:0000772,Abnormal rib morphology
HP:0001547,Abnormal rib cage morphology
HP:0008515,Aplasia/Hypoplasia of the vertebrae
HP:0009122,Aplasia/hypoplasia affecting bones of the axial skeleton
HP:0008518,Aplasia/Hypoplasia involving the vertebral column
HP:0011329,Abnormality of cranial sutures
HP:0000235,Abnormality of the fontanelles or cranial sutures
HP:0005556,Abnormality of the metopic suture
HP:0000356,Abnormality of the outer ear
HP:0000357,Abnormal location of ears
HP:0000377,Abnormal pinna morphology
HP:0032516,Invasive dermatophyte infection
HP:0012144,Abnormal monocyte morphology
HP:0012310,Abnormal monocyte count
HP:0000499,Abnormal eyelash morphology
HP:0000517,Abnormal lens morphology
HP:0004328,Abnormal anterior eye segment morphology
HP:0020101,Invasive fungal infection
HP:0012131,Abnormal number of erythroid precursors
HP:0002926,Abnormality of thyroid physiology
HP:0000820,Abnormality of the thyroid gland
HP:0100765,Abnormality of the tonsils
HP:0000481,Abnormal cornea morphology
HP:0011495,Abnormal corneal epithelium morphology
HP:0100533,Inflammatory abnormality of the eye
HP:0001875,Neutropenia
HP:0100840,Aplasia/Hypoplasia of the eyebrow
HP:0000534,Abnormal eyebrow morphology
HP:0000600,Abnormality of the pharynx
HP:0033151,Abnormal pharynx morphology
HP:0000032,Abnormal male external genitalia morphology
HP:0000036,Abnormal penis morphology
HP:0000811,Abnormal external genitalia
HP:0032076,Abnormal male urethral meatus morphology
HP:0000079,Abnormality of the urinary system
HP:0012243,Abnormal reproductive system morphology
HP:0100627,Displacement of the urethral meatus
HP:0010936,Abnormality of the lower urinary tract
HP:0000795,Abnormality of the urethra
HP:0010461,Abnormality of the male genitalia
HP:0034317,Unusual viral infection
HP:0034318,Unusual virus reactivation
HP:0001739,Abnormal nasopharynx morphology
HP:0000587,Abnormal optic nerve morphology
HP:0001549,Abnormal ileum morphology
HP:0010674,Abnormal curvature of the vertebral column
HP:0001912,Abnormal basophil morphology
HP:0031806,Abnormal basophil count
HP:0002716,Lymphadenopathy
HP:0410035,Abnormal T cell activation
HP:0010881,Abnormality of the umbilical cord
HP:0001194,Abnormalities of placenta or umbilical cord
HP:0031653,Abnormal heart valve physiology
HP:0031654,Abnormal pulmonary valve physiology
HP:0005353,Recurrent herpes
HP:0030791,Abnormal jaw morphology
HP:0000277,Abnormal mandible morphology
HP:0001370,Rheumatoid arthritis
HP:0000864,Abnormality of the hypothalamus-pituitary axis
HP:0011747,Abnormality of the anterior pituitary
HP:0010514,Hyperpituitarism
HP:0012503,Abnormal pituitary gland morphology
HP:0012293,Abnormal genital pigmentation
HP:0012145,Abnormality of multiple cell lineages in the bone marrow
HP:0005561,Abnormal bone marrow cell morphology
HP:0001907,Thromboembolism
HP:0001977,Abnormal thrombosis
HP:0030141,Abnormality of the posterior hairline
HP:0410332,Plant based food allergy
HP:0500093,Food allergy
HP:0008417,Vertebral hypoplasia
HP:0008479,Hypoplastic vertebral bodies
HP:0012447,Abnormal myelination
HP:0011400,Abnormal CNS myelination
HP:0002721,Immunodeficiency
HP:0005387,Combined immunodeficiency
HP:0010668,Abnormal zygomatic bone morphology
HP:0000309,Abnormal midface morphology
HP:0004426,Abnormal cheek morphology
HP:0100276,Skin pit
HP:0100277,Periauricular skin pits
HP:0000383,Abnormal periauricular region morphology
HP:0001711,Abnormal left ventricle morphology
HP:0001713,Abnormal cardiac ventricle morphology
HP:0011103,Abnormal left ventricular outflow tract morphology
HP:0001714,Ventricular hypertrophy
HP:0011338,Abnormality of mouth shape
HP:0011116,Abnormal circulating interferon concentration
HP:0030355,Abnormal circulating interferon-gamma concentration
HP:0011443,Abnormality of coordination
HP:0010944,Abnormal renal pelvis morphology
HP:0010946,Dilatation of the renal pelvis
HP:0010935,Abnormality of the upper urinary tract
HP:0000077,Abnormality of the kidney
HP:0012210,Abnormal renal morphology
HP:0001945,Fever
HP:0001760,Abnormal foot morphology
HP:0001159,Syndactyly
HP:0001770,Toe syndactyly
HP:0001780,Abnormal toe morphology
HP:0002814,Abnormality of the lower limb
HP:0025615,Abscess
HP:0003212,Increased circulating IgE level
HP:0000264,Abnormal mastoid morphology
HP:0410243,Abnormal circulating IgM level
HP:0030151,Cholangitis
HP:0001080,Biliary tract abnormality
HP:0012440,Abnormal biliary tract morphology
HP:0200005,Abnormal shape of the palpebral fissure
HP:0020064,Abnormal eosinophil count
HP:0001879,Abnormal eosinophil morphology
HP:4000054,Exanthem
HP:0000988,Skin rash
HP:0031983,Abnormal pulmonary thoracic imaging finding
HP:0009601,Aplasia/Hypoplasia of the thumb
HP:0001172,Abnormal thumb morphology
HP:0031416,Abnormal nasal mucus secretion
HP:0000422,Abnormal nasal bridge morphology
HP:0000505,Visual impairment
HP:0045073,Serositis
HP:0002585,Abnormal peritoneum morphology
HP:0012115,Hepatitis
HP:0200123,Chronic hepatitis
HP:0005374,Cellular immunodeficiency
HP:0002093,Respiratory insufficiency
HP:0004887,Respiratory failure requiring assisted ventilation
HP:0011061,Abnormality of dental structure
HP:0002298,Absent hair
HP:0008678,Renal hypoplasia/aplasia
HP:0025461,Abnormal cell morphology
HP:0008070,Sparse hair
HP:0000372,Abnormal auditory canal morphology
HP:0002586,Peritonitis
HP:5200046,Sensory behavioral abnormality
HP:5200058,Sensory hypersensitivity
HP:0000433,Abnormal nasal mucosa morphology
HP:0002027,Abdominal pain
HP:0032148,Episodic pain
